KR1728LI, Full Time Employee, 1963-07-05, 59, 1987-12-03, 1999-09-18, Performance, Female, Single, M1, JML, 35449.62, Germany, EUR, Berlin, Production, GER1, Christianity
1FV63PAQ, Full Time Employee, 1999-12-15, 23, 2021-08-25, 2022-12-28, Medical issues, Male, Widowed, M2, JML, 43200.10, India, INR, Chennai, Engineering, IN2, Islam
0HRB4ML0, Full Time Employee, 2004-08-19, 18, 2022-10-25, , , Male, Divorced, M1, JML, 35447.99, US, USD, New York, Packing, US2, Islam
JXQXEWDQ, Full Time Employee, 1997-01-19, 26, 2018-12-07, 2019-08-31, Relocation, Male, Divorced, M6, SML, 95352.04, US, USD, Boston, Production, US1, Athiest
LCTC14B3, Full Time Employee, 1995-12-17, 27, 2014-07-19, 2014-10-13, Gross misconduct, Female, Widowed, M3, MML, 53054.02, US, USD, Boston, Production, US2, Athiest
5ZJEAPLA, Temporary Employee, 1963-07-12, 59, 1990-03-21, , , Female, Widowed, M3, MML, 53047.56, US, USD, New York, Engineering, US4, Jewish
9H2Q1IZV, Full Time Employee, 1989-01-08, 34, 2022-05-10, , , Female, Widowed, N2, NML, 32749.07, US, USD, Boise, Engineering, US5, Islam
IH9UJ22K, Full Time Employee, 1973-05-03, 49, 1997-05-30, 2020-09-09, Relocation, Male, Widowed, M1, JML, 35448.20, Germany, EUR, Frankfurt, Sales & Marketing, GER1, Islam
XY4JWZUH, Full Time Employee, 1971-06-11, 51, 1996-11-08, , , Male, Single, M1, JML, 35445.82, India, INR, Bangalore, Engineering, IN4, Islam
5V09SFMS, Full Time Employee, 1991-10-20, 31, 2019-02-22, , , Female, Single, M3, MML, 53052.36, India, INR, Delhi, Procurement, IN3, Sikhism
BFPMRSCO, Full Time Employee, 1962-12-11, 60, 1995-07-16, , , Male, Divorced, N2, NML, 32750.55, US, USD, New York, Production, US3, Athiest
Y6V4M2K3, Full Time Employee, 1968-03-06, 54, 2005-05-17, , , Male, Single, M7, TML, 106449.23, India, INR, Bangalore, Sales & Marketing, IN3, Sikhism
AQ5SJG18, Full Time Employee, 1992-12-04, 30, 2022-02-17, 2022-02-18, Medical issues, Female, Separated, M6, SML, 95349.47, Germany, EUR, Bonn, Engineering, GER1, Christianity
YU2LGMJ6, Full Time Employee, 1972-12-25, 50, 1997-02-25, , , Female, Divorced, M5, SML, 76552.13, Germany, EUR, Berlin, Production, GER1, Islam
1U72S4SI, Full Time Employee, 1971-10-25, 51, 1999-02-17, , , Female, Married, M4, MML, 61552.15, Germany, EUR, Berlin, Packing, GER2, Christianity
6VOY065B, Full Time Employee, 1972-01-24, 51, 2004-11-23, , , Male, Divorced, M3, MML, 53055.31, Germany, EUR, Bonn, Packing, GER2, Islam
K6D3B1KL, Full Time Employee, 1994-05-01, 28, 2017-05-18, 2020-08-13, Return to school, Male, Divorced, M3, MML, 53050.63, US, USD, New York, Production, US5, Jewish
OFAQ9YBK, Full Time Employee, 1983-03-05, 39, 2014-01-02, , , Female, Divorced, M2, JML, 43202.07, Germany, EUR, Bonn, Sales & Marketing, GER2, Christianity
NDSTY6R6, Temporary Employee, 1991-07-30, 31, 2021-08-13, , , Female, Married, M1, JML, 35450.86, US, USD, New York, Production, US3, Athiest
UTACB65N, Full Time Employee, 1986-10-13, 36, 2008-02-11, 2011-11-02, AWOL, Male, Divorced, M1, JML, 35450.55, US, USD, Boise, Production, US5, Jewish
MGUWFW32, Full Time Employee, 1988-01-11, 35, 2016-08-06, 2016-11-09, Medical issues, Female, Divorced, M2, JML, 43201.64, India, INR, Delhi, Customer Service, IN3, Sikhism
0XYEHM3N, Temporary Employee, 1972-07-02, 50, 1993-07-26, 1996-10-15, Relocation, Female, Married, EC, TML, 128099.21, India, INR, Chennai, Logistics, IN1, Jainism
GYEES69A, Full Time Employee, 1961-09-21, 61, 1980-09-09, , , Female, Widowed, M4, MML, 61548.04, Germany, EUR, Bonn, Sales & Marketing, GER1, Islam
N5MHCH4T, Full Time Employee, 1984-08-25, 38, 2007-11-03, 2016-09-16, Performance, Male, Separated, M2, JML, 43199.14, India, INR, Chennai, Production, IN2, Sikhism
SJGEMCE6, Full Time Employee, 1979-02-26, 44, 2008-03-01, , , Female, Single, M2, JML, 43200.87, India, INR, Chennai, Engineering, IN1, Buddhism
OPPEU631, Fixed Term Contractual Employee, 1972-11-11, 50, 2000-12-18, , , Male, Married, M3, MML, 53054.21, Germany, EUR, Bonn, Engineering, GER2, Islam
0TVIZWWQ, Fixed Term Contractual Employee, 1986-04-24, 36, 2011-02-05, , , Male, Divorced, M2, JML, 43199.49, US, USD, Phoenix, Production, US3, Jewish
DMYJX1R4, Full Time Employee, 1963-08-24, 59, 1990-07-01, , , Female, Married, M3, MML, 53048.30, India, INR, Vizag, Customer Service, IN3, Jainism
Q522MH06, Full Time Employee, 1979-09-12, 43, 2013-08-30, , , Male, Divorced, M7, TML, 106451.92, Germany, EUR, Berlin, Production, GER2, Islam
52N0W9ZQ, Full Time Employee, 1995-09-06, 27, 2015-09-13, 2020-09-23, Relocation, Female, Separated, M4, MML, 61552.61, Germany, EUR, Berlin, Sales & Marketing, GER1, Christianity
KPCAEPJX, Casual Employee, 1987-05-29, 35, 2011-07-28, , , Male, Separated, M2, JML, 43199.47, Germany, EUR, Bonn, Packing, GER1, Christianity
3GR8LXB0, Full Time Employee, 1984-04-23, 38, 2014-03-20, 2022-02-06, Gross misconduct, Male, Widowed, N2, NML, 32752.22, US, USD, Boise, Customer Service, US6, Christianity
HQYG780X, Full Time Employee, 1993-10-10, 29, 2019-11-23, , , Female, Widowed, M4, MML, 61553.75, US, USD, Boise, Engineering, US4, Christianity
RSEKJY22, Full Time Employee, 2004-05-25, 18, 2022-08-21, , , Male, Married, M2, JML, 43199.49, Germany, EUR, Bonn, Customer Service, GER1, Christianity
T7ISW4G9, Full Time Employee, 2004-01-26, 19, 2022-05-20, 2023-02-12, Performance, Female, Single, M5, SML, 76547.37, Germany, EUR, Frankfurt, Procurement, GER2, Christianity
Z7O1Z3JJ, Full Time Employee, 1975-10-28, 47, 2012-07-26, , , Male, Married, M2, JML, 43200.43, India, INR, Hyderabad, Production, IN3, Hinduism
MHYR5LKB, Full Time Employee, 1981-12-28, 41, 2001-01-03, , , Male, Widowed, M4, MML, 61548.08, India, INR, Hyderabad, Production, IN3, Hinduism
2W2JWEF5, Full Time Employee, 1969-04-02, 53, 2021-05-27, 2022-09-29, Relocation, Male, Separated, M4, MML, 61550.06, Germany, EUR, Bonn, Sales & Marketing, GER1, Islam
SOUUESG0, Full Time Employee, 1983-08-24, 39, 2011-02-12, 2012-09-26, Gross misconduct, Female, Widowed, M2, JML, 43198.07, Germany, EUR, Berlin, Sales & Marketing, GER2, Islam
GYSJL8IW, Full Time Employee, 1976-02-07, 47, 2015-08-26, , , Male, Divorced, M1, JML, 35448.87, Germany, EUR, Bonn, Procurement, GER1, Christianity
0A2TSDYH, Full Time Employee, 1963-12-12, 59, 1986-07-06, 2011-02-09, Gross misconduct, Male, Widowed, M4, MML, 61548.38, Germany, EUR, Bonn, Production, GER1, Christianity
C4QSBJKL, Full Time Employee, 1984-09-02, 38, 2016-01-17, , , Female, Married, M4, MML, 61548.35, Germany, EUR, Bonn, Logistics, GER2, Islam
FIOUMLR6, Full Time Employee, 2002-05-01, 20, 2021-08-29, 2022-10-10, AWOL, Male, Single, M2, JML, 43199.67, Germany, EUR, Berlin, R&D, GER2, Christianity
T9L2ZCBZ, Full Time Employee, 1966-04-16, 56, 1996-05-02, 2022-02-07, AWOL, Female, Widowed, N1, NML, 30648.42, India, INR, Chennai, Sales & Marketing, IN1, Jainism
SYDCXZ3E, Fixed Term Contractual Employee, 1977-05-28, 45, 1996-06-08, 2015-05-19, Relocation, Male, Single, EC, TML, 128099.53, India, INR, Hyderabad, Customer Service, IN3, Islam
Y17IKU7L, Full Time Employee, 2003-04-10, 19, 2022-12-20, , , Female, Widowed, M5, SML, 76548.49, US, USD, Boston, R&D, US5, Athiest
I02HHY4S, Temporary Employee, 1995-08-30, 27, 2022-07-17, 2023-01-13, Medical issues, Male, Single, M4, MML, 61549.85, India, INR, Delhi, Production, IN1, Buddhism
3J91L4OF, Full Time Employee, 1970-10-02, 52, 2000-01-11, , , Female, Widowed, M2, JML, 43200.13, US, USD, Boise, Production, US1, Athiest
CJVY8AN7, Full Time Employee, 1997-12-25, 25, 2017-06-02, 2018-06-30, Gross misconduct, Female, Separated, M3, MML, 53047.47, Germany, EUR, Bonn, Production, GER2, Islam
J6NX6CSS, Full Time Employee, 1971-09-15, 51, 2001-09-30, , , Male, Married, M4, MML, 61553.08, Germany, EUR, Frankfurt, Logistics, GER1, Christianity
IC6JK0GG, Full Time Employee, 1980-09-07, 42, 2002-08-22, , , Male, Separated, M4, MML, 61546.55, India, INR, Chennai, Production, IN1, Hinduism
7UJ4W4NJ, Casual Employee, 1989-03-02, 33, 2008-06-20, , , Female, Divorced, N2, NML, 32748.57, Germany, EUR, Frankfurt, Logistics, GER2, Christianity
9AMCDDSY, Full Time Employee, 1967-10-10, 55, 2012-06-18, , , Male, Separated, M6, SML, 95349.04, US, USD, New York, Production, US2, Christianity
0W5L16DB, Full Time Employee, 1997-11-18, 25, 2021-06-28, , , Female, Divorced, N2, NML, 32751.36, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
V1QTHGDX, Full Time Employee, 1961-04-02, 61, 1996-01-07, , , Female, Single, M2, JML, 43203.07, Germany, EUR, Berlin, Production, GER2, Christianity
KQ6GWEWM, Full Time Employee, 1989-05-13, 33, 2022-02-26, 2022-02-28, AWOL, Male, Single, M3, MML, 53046.75, India, INR, Hyderabad, Engineering, IN3, Buddhism
N0RSPLL6, Full Time Employee, 1976-08-03, 46, 2010-10-04, , , Female, Widowed, M4, MML, 61547.89, US, USD, New York, Engineering, US5, Athiest
6B71DLD1, Full Time Employee, 1972-10-02, 50, 1991-09-24, 2016-05-02, Career change, Male, Married, M2, JML, 43199.39, India, INR, Delhi, Procurement, IN2, Buddhism
441SN02Z, Full Time Employee, 2001-03-15, 21, 2020-10-19, 2022-10-15, Gross misconduct, Male, Widowed, M2, JML, 43201.76, India, INR, Bangalore, Production, IN3, Sikhism
7WRWDOWS, Full Time Employee, 1968-11-08, 54, 2002-04-20, 2012-06-29, Career change, Male, Separated, M2, JML, 43199.31, US, USD, Boston, Packing, US2, Jewish
A25D5JC8, Full Time Employee, 1978-02-07, 45, 2014-06-18, , , Male, Widowed, M3, MML, 53050.63, US, USD, Boston, Sales & Marketing, US3, Athiest
DJRW0YQJ, Casual Employee, 1966-10-04, 56, 2016-03-07, 2018-09-12, Performance, Female, Divorced, M4, MML, 61551.26, Germany, EUR, Bonn, Production, GER1, Christianity
T93DVZ86, Full Time Employee, 1996-03-03, 26, 2019-05-25, , , Female, Separated, M5, SML, 76547.37, India, INR, Delhi, Production, IN4, Islam
Q1AYGBJ0, Full Time Employee, 1976-05-21, 46, 1998-03-27, , , Female, Married, N2, NML, 32749.58, US, USD, Boise, Packing, US2, Athiest
R6Z2LIRB, Full Time Employee, 1972-08-17, 50, 2018-07-31, 2018-10-02, AWOL, Male, Widowed, M1, JML, 35448.11, US, USD, New York, Sales & Marketing, US2, Jewish
O0VHRSK0, Temporary Employee, 1975-03-27, 47, 2018-10-12, , , Male, Widowed, N2, NML, 32749.12, Germany, EUR, Bonn, Packing, GER2, Christianity
SZ5E33G8, Full Time Employee, 1998-06-10, 24, 2022-01-17, 2022-02-26, AWOL, Female, Widowed, N2, NML, 32749.29, US, USD, New York, Production, US1, Jewish
BWK0O54H, Full Time Employee, 1967-10-27, 55, 1991-11-02, 2006-05-12, Relocation, Female, Single, M3, MML, 53049.74, US, USD, Phoenix, Engineering, US6, Christianity
5WQ272KX, Full Time Employee, 1974-10-19, 48, 1999-04-18, , , Male, Divorced, N2, NML, 32751.20, US, USD, Boise, Production, US5, Jewish
0XYFEXYH, Full Time Employee, 1999-01-02, 24, 2021-02-27, , , Female, Divorced, M3, MML, 53048.06, Germany, EUR, Berlin, Customer Service, GER1, Christianity
00HFRTJ3, Full Time Employee, 1994-11-24, 28, 2020-08-04, , , Male, Divorced, M3, MML, 53054.14, US, USD, Boston, Sales & Marketing, US6, Jewish
3R1RX21I, Full Time Employee, 2003-07-08, 19, 2021-10-02, , , Male, Divorced, M4, MML, 61546.59, US, USD, Boise, Production, US3, Athiest
RCECF547, Full Time Employee, 1995-11-19, 27, 2014-03-18, , , Female, Married, M1, JML, 35448.20, India, INR, Bangalore, R&D, IN2, Jainism
S0JU6HNY, Full Time Employee, 1969-02-22, 54, 1993-05-07, 2014-08-30, Medical issues, Female, Widowed, M2, JML, 43200.04, US, USD, Boston, Procurement, US1, Jewish
MIRINYKC, Full Time Employee, 1985-08-27, 37, 2019-12-17, 2020-05-16, Gross misconduct, Third gender, Married, M2, JML, 43198.94, India, INR, Bangalore, HR, IN2, Jainism
8H15XZ3O, Full Time Employee, 1969-06-15, 53, 2006-10-23, 2011-04-03, AWOL, Male, Widowed, M1, JML, 35450.78, Germany, EUR, Bonn, Customer Service, GER2, Christianity
9YBYKIV6, Full Time Employee, 2004-11-11, 18, 2022-12-25, , , Male, Separated, M4, MML, 61552.18, Germany, EUR, Bonn, Production, GER1, Islam
F0YXTNMU, Full Time Employee, 1976-03-24, 46, 1998-06-07, , , Female, Single, M6, SML, 95346.36, US, USD, Boston, Engineering, US3, Islam
5GL0E7SS, Fixed Term Contractual Employee, 1979-09-04, 43, 2001-11-09, 2007-07-06, Performance, Male, Single, N2, NML, 32752.18, Germany, EUR, Frankfurt, Engineering, GER1, Christianity
6EBO9W4B, Full Time Employee, 2003-04-13, 19, 2022-09-03, , , Female, Separated, M1, JML, 35453.10, India, INR, Delhi, Sales & Marketing, IN2, Jainism
L551V7IY, Full Time Employee, 1966-10-25, 56, 2002-03-18, 2017-07-16, Medical issues, Male, Divorced, M2, JML, 43197.84, US, USD, New York, Customer Service, US1, Athiest
AZNOH23I, Full Time Employee, 2004-02-26, 18, 2022-10-06, , , Female, Divorced, M2, JML, 43200.04, India, INR, Bangalore, Production, IN1, Jainism
FS112QRS, Full Time Employee, 1976-09-18, 46, 2004-04-07, , , Female, Separated, M3, MML, 53050.57, India, INR, Bangalore, Engineering, IN2, Sikhism
YAJ0TRYM, Full Time Employee, 2002-12-03, 20, 2021-05-23, 2021-08-28, Return to school, Female, Separated, M4, MML, 61553.71, Germany, EUR, Berlin, R&D, GER1, Islam
CNQ12VZ2, Full Time Employee, 2002-06-07, 20, 2022-01-19, , , Male, Separated, M2, JML, 43199.60, Germany, EUR, Berlin, Production, GER2, Islam
U8VC8IN4, Full Time Employee, 1986-08-16, 36, 2007-07-01, 2011-06-27, Return to school, Male, Widowed, M2, JML, 43202.08, India, INR, Vizag, Production, IN1, Buddhism
OL5M3555, Full Time Employee, 1974-12-04, 48, 2002-04-12, 2005-10-12, Medical issues, Female, Single, M4, MML, 61549.83, Germany, EUR, Frankfurt, Engineering, GER1, Christianity
PCZZG64T, Full Time Employee, 1980-02-03, 43, 2013-03-21, , , Male, Married, M6, SML, 95349.52, Germany, EUR, Frankfurt, Production, GER1, Christianity
KSLACMA2, Full Time Employee, 2002-05-15, 20, 2022-01-13, , , Male, Widowed, M2, JML, 43201.21, Germany, EUR, Bonn, Engineering, GER1, Islam
JK8R62VC, Full Time Employee, 1979-11-01, 43, 2019-05-30, 2021-03-26, Career change, Female, Separated, M2, JML, 43200.67, US, USD, New York, Engineering, US5, Jewish
JRC6BX2T, Fixed Term Contractual Employee, 1986-10-13, 36, 2021-03-11, , , Male, Divorced, M1, JML, 35453.67, India, INR, Bangalore, Production, IN3, Jainism
