IE4UFYCM, Full Time Employee, 1995-03-21,27, 2022-07-26, 2022-09-01, Career change,Voluntary, Male, Divorced, M6, SML,95351.34, Denmark, Aalborg, Sales & Marketing, DM1, Jewish, Danish, 
KEW0CVPH, Full Time Employee, 1966-01-27,57, 1989-06-10, , ,, Male, Separated, M2, JML,43198.95, Italy, Naples, Production, IT2, Athiest, Italian, 
C965P7WA, Full Time Employee, 1968-04-29,54, 2008-09-07, , ,, Female, Widowed, M2, JML,43200.2, Italy, Florence, Customer Service, IT2, Islam, Italian, 
32J74GI1, Full Time Employee, 1997-01-21,26, 2015-08-27, , ,, Male, Single, M5, SML,76547.68, Denmark, Copenhagen, Sales & Marketing, DM1, Athiest, Danish, 
4IF2HHV4, Full Time Employee, 1977-01-10,46, 2012-08-25, , ,, Male, Single, M2, JML,43197.53, India, Chennai, Production, IN2, Jainism, Indo-Aryan, 
7SAM2CD0, Full Time Employee, 1994-07-20,28, 2022-10-13, , ,, Female, Married, M2, JML,43199.29, Italy, Rome, Sales & Marketing, IT2, Islam, Italian, 
5G8ZXG08, Full Time Employee, 2003-04-02,19, 2022-04-08, 2022-06-30, Gross misconduct,Involuntary, Female, Divorced, M2, JML,43200.32, India, Hyderabad, Production, IN3, Hinduism, Dravidian, 
TPHK1MCJ, Full Time Employee, 1985-10-04,37, 2009-05-05, 2011-02-06, Relocation,Voluntary, Male, Married, M1, JML,35452.88, China, Peking, Procurement, CN1, Athiest, Han Chinese, 
PQRVF7DO, Full Time Employee, 1971-09-06,51, 1991-02-05, , ,, Female, Divorced, M5, SML,76550.87, China, Chengdu, Production, CN1, Buddhism, Han Chinese, 
C4WP2OWI, Full Time Employee, 1994-05-16,28, 2019-06-09, , ,, Female, Widowed, M2, JML,43201.18, United States, Boise, Customer Service, US5, Jewish, White, 
3M86DQZE, Full Time Employee, 1985-06-10,37, 2008-10-12, , ,, Female, Married, M4, MML,61552.19, India, Delhi, Production, IN2, Hinduism, Indo-Aryan, 
KYBC932F, Full Time Employee, 1963-06-03,59, 1991-11-25, , ,, Female, Widowed, M2, JML,43196.41, Indonesia, Bandung, Logistics, IA1, Christianity, Javanese, 
H5IV3WH7, Full Time Employee, 1977-01-28,46, 2014-02-24, , ,, Female, Single, M4, MML,61549.04, Denmark, Copenhagen, HR, DM3, Jewish, Turkish, 
RT3PBXBW, Full Time Employee, 1985-07-06,37, 2008-06-24, , ,, Female, Widowed, M4, MML,61552.25, United Kingdom, Warwick, Engineering, UK2, Christianity, White, 
UCAECT4A, Full Time Employee, 1965-03-05,58, 1987-09-18, , ,, Male, Single, M1, JML,35450.02, Denmark, Aalborg, Sales & Marketing, DM3, Athiest, Danish, 
BSZUNXPW, Full Time Employee, 1998-05-28,24, 2019-02-03, , ,, Female, Divorced, M3, MML,53049.52, Belgium, Antwerp, Production, BL3, Christianity, Belgian, 
0JW3HAPW, Full Time Employee, 1997-02-11,26, 2019-05-11, , ,, Male, Divorced, M5, SML,76553.36, China, Chengdu, Production, CN1, Athiest, Han Chinese, 
2GVL494E, Full Time Employee, 1963-06-03,59, 2006-02-08, , ,, Female, Separated, M2, JML,43198.29, India, Hyderabad, Sales & Marketing, IN3, Christianity, Indo-Aryan, 
VWF3C9ST, Full Time Employee, 1966-12-26,56, 1987-06-18, , ,, Male, Single, M2, JML,43203.99, Indonesia, Jakarta, Production, IA1, Christianity, Javanese, 
C3JAVAL4, Full Time Employee, 2000-07-27,22, 2021-03-20, , ,, Male, Separated, M1, JML,35452.29, Italy, Nice, Sales & Marketing, IT3, Islam, Slovene-Italian, 
6NF9TEUM, Full Time Employee, 1967-02-23,56, 2003-12-30, , ,, Female, Separated, M4, MML,61549.28, Denmark, Copenhagen, Production, DM2, Islam, Danish, 
IPHTBHV3, Full Time Employee, 1998-02-04,25, 2020-02-02, , ,, Male, Separated, M1, JML,35448.89, United Kingdom, Warwick, Engineering, UK5, Islam, White, 
9WX7ZBDX, Full Time Employee, 2002-11-30,20, 2021-06-26, , ,, Male, Separated, M4, MML,61548.62, China, Shanghai, Engineering, CN1, Christianity, Han Chinese, 
9NXK6UI1, Full Time Employee, 1975-12-28,47, 2017-12-17, 2022-11-22, Medical issues,Voluntary, Male, Single, M2, JML,43201.27, Indonesia, Surabaya, Sales & Marketing, IA3, Hinduism, Javanese, 
GHSE10ZP, Full Time Employee, 1971-10-12,51, 2021-01-25, 2022-01-02, Relocation,Voluntary, Female, Single, M1, JML,35449.76, Indonesia, Jakarta, Production, IA1, Islam, Javanese, 
ETU4N6L9, Full Time Employee, 1961-10-19,61, 1980-04-03, , ,, Female, Single, M3, MML,53048.29, China, Beijing, Sales & Marketing, CN5, Islam, Han Chinese, 
MGPTYDP7, Full Time Employee, 1965-05-21,57, 2021-12-05, , ,, Female, Married, N2, NML,32753.63, Netherlands, Eindhoven, Stores, NL1, Athiest, Dutch, 
U8NOO0HY, Full Time Employee, 1979-03-06,43, 2012-10-20, , ,, Male, Widowed, M7, TML,106454.31, Belgium, Brussels, Production, BL1, Islam, Belgian, 
XGGN4C1L, Full Time Employee, 1980-10-04,42, 2010-08-08, , ,, Female, Separated, M4, MML,61552.14, India, Chennai, Production, IN4, Buddhism, Indo-Aryan, 
FX1NNPEV, Full Time Employee, 1996-03-23,26, 2017-11-14, 2018-08-02, Relocation,Voluntary, Male, Single, N1, NML,30650.97, Italy, Florence, Engineering, IT3, Athiest, Italian, 
5JMGKQJP, Full Time Employee, 1997-07-02,25, 2020-02-02, , ,, Female, Separated, M7, TML,106447.8, Indonesia, Jakarta, Packing, IA2, Hinduism, Javanese, 
0Q88B509, Full Time Employee, 1986-10-09,36, 2015-08-28, , ,, Male, Divorced, M2, JML,43200.31, Italy, Rome, Sales & Marketing, IT1, Christianity, Italian, 
NZ9ILL4D, Full Time Employee, 1974-03-28,48, 2014-06-08, , ,, Female, Married, M1, JML,35451.29, Italy, Naples, Customer Service, IT2, Jewish, Greek-Italian, 
HHWKBDTZ, Full Time Employee, 1984-10-28,38, 2011-10-03, , ,, Male, Married, M2, JML,43199.2, Italy, Rome, Sales & Marketing, IT3, Christianity, Italian, 
DVZ2LIP8, Full Time Employee, 1965-10-22,57, 2005-01-08, , ,, Female, Separated, M4, MML,61549.68, India, Hyderabad, Production, IN3, Sikhism, Indo-Aryan, 
TW2DN00W, Full Time Employee, 1978-04-02,44, 2007-11-11, , ,, Female, Single, M4, MML,61549.05, United Kingdom, Jersey, Sales & Marketing, UK3, Islam, White, 
GB36KN1C, Full Time Employee, 1972-09-14,50, 2007-03-15, , ,, Female, Separated, M2, JML,43202.95, India, Bangalore, Production, IN3, Buddhism, Indo-Aryan, 
6F5MWEOG, Full Time Employee, 1968-08-04,54, 1995-12-29, , ,, Male, Separated, M5, SML,76548.22, Denmark, Esbjerg, Engineering, DM1, Athiest, Danish, 
BV2E2HI0, Full Time Employee, 1966-02-14,57, 1987-05-04, 1994-04-12, Return to school,Voluntary, Male, Separated, EC, TML,128098.82, Italy, Nice, Logistics, IT1, Athiest, Italian, 
7EA3KOHH, Full Time Employee, 1994-06-01,28, 2015-07-08, , ,, Male, Divorced, M1, JML,35448.41, United States, Boise, Engineering, US2, Athiest, White, 
6NRCMVHK, Casual Employee, 1995-09-17,27, 2016-05-02, , ,, Female, Married, N1, NML,30653.42, China, Guangzhou, HR, CN4, Islam, Han Chinese, 
QRBEP8N7, Full Time Employee, 1961-08-25,61, 1990-01-08, , ,, Female, Separated, M5, SML,76549.42, United States, Phoenix, Packing, US3, Jewish, White, 
9U9ZRCRC, Full Time Employee, 1975-08-07,47, 2005-11-28, , ,, Male, Separated, M6, SML,95350.82, Italy, Florence, Procurement, IT3, Islam, Italian, 
1HJGGWYP, Full Time Employee, 2002-01-30,21, 2021-04-18, , ,, Male, Single, M5, SML,76549.95, China, Guangzhou, Production, CN2, Buddhism, Han Chinese, 
E55625NC, Full Time Employee, 1967-08-18,55, 1990-11-14, , ,, Male, Single, M1, JML,35450.55, United Kingdom, London, Customer Service, UK2, Jewish, White, 
3XKMNWXL, Full Time Employee, 1997-08-24,25, 2016-03-30, , ,, Female, Separated, M2, JML,43197.05, Netherlands, Eindhoven, Production, NL1, Islam, Dutch, 
I2F4WY3B, Full Time Employee, 1985-01-17,38, 2013-08-06, , ,, Female, Separated, M3, MML,53046.35, Indonesia, Bandung, Engineering, IA2, Christianity, Javanese, 
K4GM1383, Full Time Employee, 1985-06-27,37, 2006-07-12, , ,, Female, Married, M2, JML,43200.36, United Kingdom, Warwick, Stores, UK1, Christianity, White, 
FIRFVRTZ, Full Time Employee, 1988-09-23,34, 2022-02-26, , ,, Male, Widowed, EC, TML,128102.95, China, Guangzhou, Sales & Marketing, CN5, Athiest, Han Chinese, 
8H2CE6HJ, Full Time Employee, 1991-07-17,31, 2011-12-12, , ,, Female, Divorced, M3, MML,53050.34, Belgium, Antwerp, Logistics, BL2, Jewish, Dutch, 
80ZARVIW, Casual Employee, 1987-06-25,35, 2007-12-10, 2010-04-26, Relocation,Voluntary, Male, Separated, M4, MML,61545.38, India, Hyderabad, Production, IN3, Hinduism, Dravidian, 
5L8MNGBT, Full Time Employee, 1988-11-23,34, 2010-02-14, , ,, Female, Separated, M2, JML,43203.96, Denmark, Esbjerg, Engineering, DM2, Jewish, Polish, Romanian
LLA277WJ, Full Time Employee, 1967-12-01,55, 1994-06-26, , ,, Female, Separated, M4, MML,61547.01, United Kingdom, Warwick, Production, UK3, Christianity, White, 
TCXDCMVS, Full Time Employee, 1999-03-19,23, 2018-06-14, , ,, Male, Separated, M4, MML,61548.08, India, Vizag, HR, IN1, Buddhism, Dravidian, 
MDAB8YPH, Full Time Employee, 1980-11-16,42, 2019-01-16, , ,, Male, Separated, M2, JML,43202.91, United States, Phoenix, Engineering, US2, Jewish, White, 
YV77CZMP, Full Time Employee, 1989-10-21,33, 2015-03-09, , ,, Male, Married, M4, MML,61552.42, Indonesia, Surabaya, Customer Service, IA2, Islam, Javanese, 
IPNLJAT1, Full Time Employee, 1989-07-27,33, 2018-08-21, , ,, Female, Single, M3, MML,53051.29, India, Vizag, Production, IN4, Islam, Indo-Aryan, 
0IC988Z0, Full Time Employee, 1990-09-27,32, 2014-08-07, , ,, Male, Married, M3, MML,53048.05, China, Peking, Engineering, CN6, Christianity, Han Chinese, 
5U1HQFWB, Full Time Employee, 1980-02-07,43, 2011-09-15, , ,, Female, Divorced, M3, MML,53048.5, United Kingdom, London, Engineering, UK5, Jewish, White, 
JDVQEWFS, Full Time Employee, 1965-01-29,58, 2015-08-27, , ,, Male, Single, M1, JML,35450.39, United Kingdom, London, Engineering, UK3, Jewish, White, 
EFJKBWJJ, Full Time Employee, 1995-12-25,27, 2017-10-01, , ,, Male, Single, M2, JML,43199.68, Belgium, Ghent, Engineering, BL1, Christianity, Dutch, 
GYFNMACJ, Full Time Employee, 1992-10-11,30, 2019-06-27, , ,, Female, Separated, M4, MML,61548.38, United States, Boston, Engineering, US1, Christianity, Amerindian, 
H42QX1AY, Full Time Employee, 1984-10-29,38, 2015-10-07, , ,, Female, Divorced, M3, MML,53049.85, Belgium, Antwerp, Engineering, BL3, Islam, Belgian, 
470FHE9R, Full Time Employee, 1980-05-29,42, 2000-09-19, , ,, Female, Single, M1, JML,35449.59, Denmark, Aalborg, Production, DM1, Islam, Danish, 
VIIGB45S, Full Time Employee, 1963-12-19,59, 1993-02-11, , ,, Female, Single, M2, JML,43198.57, United States, Boise, R&D, US6, Jewish, White, 
E5ZMUJ1V, Full Time Employee, 1993-05-22,29, 2020-11-01, , ,, Male, Divorced, M2, JML,43202.35, United Kingdom, Jersey, Sales & Marketing, UK4, Islam, White, 
R46RRDKU, Full Time Employee, 1969-06-03,53, 2002-01-06, , ,, Male, Divorced, M5, SML,76544.82, United States, Boise, Customer Service, US5, Christianity, Native-Hawaiian, 
6MYRZJK1, Full Time Employee, 1978-06-17,44, 1997-01-31, 2010-09-20, Childcare,Voluntary, Male, Divorced, M1, JML,35453.2, Denmark, Esbjerg, Production, DM2, Jewish, Danish, 
D1I3OTGC, Full Time Employee, 1961-11-05,61, 1994-04-16, , ,, Male, Single, M5, SML,76550.26, India, Delhi, Packing, IN2, Jainism, Dravidian, 
O2DBEKWR, Full Time Employee, 1989-05-17,33, 2022-06-17, , ,, Female, Widowed, M1, JML,35449.89, Netherlands, Rotterdam, Production, NL3, Jewish, Dutch, 
MPJHJKPE, Full Time Employee, 1977-08-25,45, 1996-07-12, , ,, Female, Married, M5, SML,76549.27, United States, Phoenix, Engineering, US1, Athiest, White, 
EEACIZ5V, Full Time Employee, 1993-05-05,29, 2014-04-11, , ,, Male, Separated, M3, MML,53051.27, Netherlands, Amsterdam, Logistics, NL1, Jewish, Dutch, 
32G59G01, Temporary Employee, 2001-01-23,22, 2019-02-21, 2021-09-14, Career change,Voluntary, Male, Widowed, M5, SML,76551.34, Italy, Florence, Stores, IT3, Christianity, Italian, 
A4WIIOPQ, Full Time Employee, 1991-11-04,31, 2018-01-26, , ,, Female, Widowed, M1, JML,35451.02, United States, Phoenix, Engineering, US1, Christianity, White, 
0VC8BACU, Full Time Employee, 2003-07-10,19, 2022-04-22, , ,, Female, Separated, M1, JML,35446.17, India, Bangalore, Engineering, IN4, Jainism, Dravidian, 
DQZU2BX9, Full Time Employee, 1962-05-12,60, 1998-10-08, , ,, Female, Separated, M2, JML,43197.32, Netherlands, Amsterdam, Production, NL4, Jewish, Dutch, 
HFRO3RBK, Full Time Employee, 1964-09-25,58, 2016-07-28, , ,, Male, Married, M3, MML,53050.58, Netherlands, Amsterdam, Production, NL3, Islam, Turkish, 
EL539BPR, Full Time Employee, 1966-03-02,57, 2020-12-03, , ,, Female, Separated, M4, MML,61549.53, Belgium, Antwerp, Production, BL1, Islam, Moroccan, 
OG4LRQYH, Full Time Employee, 1983-05-05,39, 2014-06-25, , ,, Female, Married, N2, NML,32750.77, Netherlands, Eindhoven, Sales & Marketing, NL2, Athiest, Dutch, 
GYZSPTUS, Full Time Employee, 1962-07-31,60, 1999-03-04, , ,, Male, Single, M3, MML,53049.9, Belgium, Antwerp, Customer Service, BL1, Jewish, Belgian, 
2LBGL3N6, Full Time Employee, 1976-11-19,46, 2010-09-02, , ,, Female, Divorced, M6, SML,95350.98, India, Chennai, Engineering, IN2, Jainism, Indo-Aryan, 
QVXJIL31, Temporary Employee, 1961-12-06,61, 2014-10-25, , ,, Female, Single, M6, SML,95347.78, Netherlands, Rotterdam, Engineering, NL1, Athiest, EU(excluding Dutch), 
028KB4PG, Full Time Employee, 1965-01-02,58, 1994-05-11, 2000-12-11, AWOL,Involuntary, Male, Married, M5, SML,76552.07, Indonesia, Bandung, Production, IA2, Christianity, Javanese, 
ZUFFB46L, Full Time Employee, 2004-04-14,18, 2023-02-18, , ,, Female, Widowed, M2, JML,43197.94, United States, Phoenix, Production, US4, Athiest, White, 
LJMSCERI, Full Time Employee, 1967-12-21,55, 2009-10-18, , ,, Female, Separated, M1, JML,35451.62, Netherlands, Rotterdam, Production, NL3, Islam, Dutch, 
L3EKJRWD, Full Time Employee, 1988-10-14,34, 2014-06-17, , ,, Male, Divorced, M4, MML,61551.48, Denmark, Copenhagen, Production, DM2, Jewish, Polish, 
7K2ZJLV4, Full Time Employee, 1972-12-07,50, 2022-03-17, , ,, Female, Married, M7, TML,106448.87, Netherlands, Rotterdam, Production, NL3, Athiest, Dutch, 
0668D4NM, Temporary Employee, 1981-04-18,41, 2015-09-23, 2016-08-22, Performance,Involuntary, Male, Divorced, M2, JML,43203.16, Indonesia, Jakarta, Sales & Marketing, IA3, Islam, Javanese, 
MVB88KLU, Full Time Employee, 1971-04-29,51, 2006-10-31, , ,, Female, Widowed, M2, JML,43196.39, India, Delhi, Production, IN1, Islam, Indo-Aryan, 
BXAXNWRL, Full Time Employee, 1982-06-01,40, 2011-02-13, , ,, Male, Separated, M1, JML,35449.41, Belgium, Brussels, Engineering, BL2, Christianity, Moroccan, 
ME7DCJHQ, Full Time Employee, 2003-06-19,19, 2022-05-09, , ,, Male, Married, N2, NML,32751.94, Italy, Rome, Engineering, IT1, Jewish, Italian, 
I3KMUG07, Full Time Employee, 2003-07-30,19, 2022-08-26, , ,, Female, Single, M3, MML,53050.39, Belgium, Brussels, Sales & Marketing, BL2, Christianity, Moroccan, 
B4M12VV6, Full Time Employee, 1995-01-05,28, 2022-05-23, , ,, Male, Divorced, M6, SML,95354.49, Belgium, Antwerp, Engineering, BL2, Christianity, Belgian, 
I5HC59OC, Full Time Employee, 1977-04-30,45, 2001-11-16, , ,, Female, Divorced, M3, MML,53052.86, China, Guangzhou, Sales & Marketing, CN6, Christianity, Zhang, 
FX6AK2FS, Full Time Employee, 1979-07-24,43, 2018-04-11, , ,, Female, Married, M4, MML,61548.18, United States, Boston, Procurement, US6, Christianity, White, 
B4YYV5CV, Wage Boarder, 1992-02-09,31, 2013-11-27, , ,, Male, Single, M3, MML,53048.43, Denmark, Esbjerg, Production, DM3, Jewish, Danish, 
NKPJDUEE, Full Time Employee, 1966-12-03,56, 1990-04-27, , ,, Female, Divorced, M6, SML,95349.72, Italy, Nice, Production, IT1, Jewish, Italian, 
1JQ4BQ50, Temporary Employee, 2003-06-19,19, 2021-11-26, , ,, Male, Married, M3, MML,53050.76, United Kingdom, Jersey, Customer Service, UK3, Islam, White, 
9K741WOX, Casual Employee, 1997-09-11,25, 2015-10-24, , ,, Male, Widowed, M2, JML,43201.59, China, Chongqing, Sales & Marketing, CN4, Islam, Han Chinese, 
4SYZC784, Full Time Employee, 1989-03-24,33, 2014-05-27, , ,, Female, Married, M3, MML,53052.12, Italy, Rome, Customer Service, IT1, Athiest, Italian, 
QD53FSW7, Full Time Employee, 1973-12-10,49, 1994-11-10, , ,, Male, Widowed, M1, JML,35444.97, India, Bangalore, Sales & Marketing, IN2, Jainism, Dravidian, 
QJACBT8R, Full Time Employee, 1987-09-13,35, 2013-03-12, , ,, Male, Married, M2, JML,43199.93, United States, Boston, Sales & Marketing, US1, Christianity, African-American, 
L5KW84V5, Full Time Employee, 1978-01-25,45, 2007-01-30, , ,, Female, Separated, M2, JML,43198.81, China, Shanghai, Logistics, CN3, Buddhism, Zhang, 
YQ2NPAKX, Full Time Employee, 1991-11-17,31, 2012-01-18, , ,, Female, Separated, M6, SML,95349.97, Italy, Rome, Engineering, IT1, Christianity, Italian, 
HLYBHLZD, Full Time Employee, 1986-04-11,36, 2012-01-23, , ,, Female, Separated, M5, SML,76551.98, China, Chengdu, Production, CN4, Athiest, Han Chinese, 
13U8AX7C, Full Time Employee, 1985-10-03,37, 2012-12-02, , ,, Female, Separated, M6, SML,95347.73, Netherlands, Amsterdam, Customer Service, NL4, Islam, Dutch, 
BMJT7W29, Full Time Employee, 1992-11-03,30, 2011-06-07, , ,, Male, Widowed, M1, JML,35448.52, Belgium, Brussels, Engineering, BL1, Jewish, Belgian, 
WXQUPA1C, Full Time Employee, 1994-08-29,28, 2012-12-25, , ,, Female, Divorced, M4, MML,61547.05, United Kingdom, Portsmouth, Customer Service, UK4, Jewish, White, 
F117XIB3, Full Time Employee, 1992-11-20,30, 2021-06-24, , ,, Male, Divorced, M5, SML,76547.45, Netherlands, Rotterdam, Production, NL2, Islam, Dutch, 
FHGQ62O0, Full Time Employee, 1977-11-07,45, 2004-11-16, , ,, Female, Separated, M2, JML,43201.39, Indonesia, Surabaya, Engineering, IA3, Islam, Sundanese, 
X4CPWA3P, Full Time Employee, 1999-07-06,23, 2019-06-27, , ,, Male, Separated, M2, JML,43201.26, India, Vizag, Customer Service, IN3, Christianity, Dravidian, 
GEC1FHAX, Full Time Employee, 1976-08-16,46, 2007-03-31, , ,, Male, Divorced, M5, SML,76549.16, United Kingdom, Jersey, Logistics, UK1, Islam, White, 
SN37B8NX, Temporary Employee, 1967-03-09,55, 1988-05-10, , ,, Female, Divorced, EC, TML,128098.79, Netherlands, Eindhoven, Logistics, NL4, Islam, Dutch, 
8KIR2W4L, Full Time Employee, 1986-01-24,37, 2010-05-29, , ,, Female, Married, M7, TML,106447.43, Italy, Rome, Packing, IT2, Jewish, Italian, 
